time,0014.4F01.0000.3560,0014.4F01.0000.7811,0014.4F01.0000.35EC
2013-09-17 21:09:46.021,,,78
2013-09-17 21:09:47.514,73,,
2013-09-17 21:09:48.134,,69,
2013-09-17 21:09:49.022,,,78
2013-09-17 21:09:50.515,74,,
2013-09-17 21:09:51.135,,69,
2013-09-17 21:09:52.024,,,78
2013-09-17 21:09:53.516,74,,
2013-09-17 21:09:54.136,,69,
2013-09-17 21:09:55.025,,,78
2013-09-17 21:09:56.517,74,,
2013-09-17 21:09:57.137,,69,
2013-09-17 21:09:58.027,,,78
2013-09-17 21:09:59.52,74,,
2013-09-17 21:10:00.138,,69,
2013-09-17 21:10:01.028,,,78
2013-09-17 21:10:02.521,74,,
2013-09-17 21:10:03.139,,69,
2013-09-17 21:10:04.03,,,78
2013-09-17 21:10:06.14,,69,
2013-09-17 21:10:07.032,,,79
2013-09-17 21:10:08.525,75,,
2013-09-17 21:10:09.141,,69,
2013-09-17 21:10:10.033,,,79
2013-09-17 21:10:11.528,74,,
2013-09-17 21:10:12.142,,69,
2013-09-17 21:10:13.034,,,79
2013-09-17 21:10:14.529,73,,
2013-09-17 21:10:15.143,,69,
2013-09-17 21:10:16.035,,,79
2013-09-17 21:10:17.53,74,,
2013-09-17 21:10:18.144,,69,
2013-09-17 21:10:19.036,,,79
2013-09-17 21:10:20.531,73,,
2013-09-17 21:10:21.145,,69,
2013-09-17 21:10:22.037,,,78
2013-09-17 21:10:23.535,74,,
2013-09-17 21:10:24.146,,69,
2013-09-17 21:10:25.039,,,78
2013-09-17 21:10:26.536,74,,
2013-09-17 21:10:27.147,,69,
2013-09-17 21:10:28.041,,,79
2013-09-17 21:10:29.537,74,,
2013-09-17 21:10:30.148,,69,
2013-09-17 21:10:31.042,,,79
2013-09-17 21:10:32.538,73,,
2013-09-17 21:10:33.149,,69,
2013-09-17 21:10:34.043,,,78
2013-09-17 21:10:35.54,73,,
2013-09-17 21:10:36.15,,69,
2013-09-17 21:10:37.045,,,78
