time,LF,RF,LR,RR,setTurn,setSpeed,booleans,,,
1.39E+12,233,255,255,255,1670,1500,191,,2.62E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.67E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.64E+02,
1.39E+12,232,255,255,255,1670,1500,191,,2.69E+02,
1.39E+12,232,255,255,255,1670,1500,191,,5.34E+02,
1.39E+12,234,255,255,255,1670,1500,191,,2.62E+02,
1.39E+12,232,255,255,255,1670,1500,191,,2.64E+02,
1.39E+12,232,255,255,255,1670,1500,191,,2.62E+02,
1.39E+12,233,255,255,255,1670,1500,191,,5.24E+02,
1.39E+12,230,255,255,255,1670,1500,191,,2.65E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.66E+02,
1.39E+12,232,255,255,255,1670,1500,191,,2.63E+02,
1.39E+12,232,255,255,255,1670,1500,191,,2.61E+02,
1.39E+12,226,255,255,255,1670,1500,191,,2.72E+02,
1.39E+12,42,156,25,35,1670,1500,191,,2.75E+02,
1.39E+12,40,28,24,36,1670,1500,191,,2.75E+02,
1.39E+12,45,27,23,36,1670,1500,191,,2.70E+02,
1.39E+12,39,27,22,36,1670,1500,191,,2.73E+02,
1.39E+12,30,27,22,36,1670,1500,191,,2.78E+02,
1.39E+12,28,27,34,36,1670,1500,191,,2.71E+02,
1.39E+12,26,27,28,36,1670,1500,191,,2.65E+02,
1.39E+12,28,27,27,36,1670,1500,191,,2.67E+02,
1.39E+12,28,27,27,36,1670,1500,191,,2.67E+02,
1.39E+12,27,27,22,36,1670,1500,191,,2.66E+02,
1.39E+12,28,27,27,36,1670,1500,191,,2.69E+02,
1.39E+12,28,27,27,36,1670,1500,191,,2.63E+02,
1.39E+12,27,27,27,36,1670,1500,191,,2.63E+02,
1.39E+12,28,28,27,36,1670,1500,191,,2.65E+02,
1.39E+12,28,27,27,36,1670,1500,191,,2.63E+02,
1.39E+12,28,27,27,36,1670,1500,191,,2.64E+02,
1.39E+12,28,27,27,36,1670,1500,191,,2.61E+02,
1.39E+12,29,27,28,36,1670,1500,191,,2.65E+02,
1.39E+12,32,27,27,36,1670,1500,191,,2.66E+02,
1.39E+12,32,27,27,36,1670,1500,191,,2.65E+02,
1.39E+12,32,27,28,36,1670,1500,191,,2.69E+02,
1.39E+12,31,28,28,36,1670,1500,191,,2.66E+02,
1.39E+12,30,27,29,36,1670,1500,191,,2.65E+02,
1.39E+12,29,27,28,16,1670,1500,191,,2.73E+02,
1.39E+12,29,28,28,16,1670,1500,191,,2.79E+02,
1.39E+12,30,27,28,16,1670,1500,191,,2.66E+02,
1.39E+12,31,27,29,36,1670,1500,191,,2.73E+02,
1.39E+12,31,27,28,36,1670,1500,191,,2.73E+02,
1.39E+12,34,27,25,36,1670,1500,191,,2.72E+02,
1.39E+12,43,27,25,36,1670,1500,191,,2.66E+02,
1.39E+12,44,27,30,35,1670,1500,191,,2.65E+02,
1.39E+12,255,27,35,36,1670,1500,191,,2.71E+02,
1.39E+12,255,27,35,36,1670,1500,191,,2.68E+02,
1.39E+12,255,31,34,39,1670,1500,191,,2.67E+02,
1.39E+12,85,38,37,43,1670,1500,191,,2.73E+02,
1.39E+12,66,39,36,43,1670,1500,191,,2.70E+02,
1.39E+12,138,39,31,44,1670,1500,191,,2.69E+02,
1.39E+12,57,40,34,44,1670,1500,191,,2.67E+02,
1.39E+12,32,40,35,43,1670,1500,191,,2.73E+02,
1.39E+12,37,41,122,43,1670,1500,191,,2.68E+02,
1.39E+12,15,43,48,46,1670,1500,191,,2.68E+02,
1.39E+12,15,46,56,47,1670,1500,191,,2.81E+02,
1.39E+12,21,51,41,63,1670,1500,191,,2.80E+02,
1.39E+12,17,59,88,79,1670,1500,191,,2.69E+02,
1.39E+12,17,48,35,72,1670,1500,191,,2.78E+02,
1.39E+12,16,55,30,81,1670,1500,191,,2.78E+02,
1.39E+12,20,61,30,89,1670,1500,191,,2.73E+02,
