time,0014.4F01.0000.3560,0014.4F01.0000.35EC
2013-09-19 13:58:07.369,81.5,
2013-09-19 13:58:07.286,,81.5
2013-09-19 13:58:10.372,81.5,
2013-09-19 13:58:10.287,,81.5
2013-09-19 13:58:13.373,82.03999999999999,
2013-09-19 13:58:13.288,,81.5
2013-09-19 13:58:16.374,80.42,
2013-09-19 13:58:16.289,,81.5
2013-09-19 13:58:19.375,81.5,
2013-09-19 13:58:19.29,,82.03999999999999
2013-09-19 13:58:22.376,82.03999999999999,
2013-09-19 13:58:22.292,,82.03999999999999
2013-09-19 13:58:25.379,81.5,
2013-09-19 13:58:25.293,,80.96000000000001
2013-09-19 13:58:28.38,81.5,
2013-09-19 13:58:28.294,,80.96000000000001
2013-09-19 13:58:31.381,80.42,
2013-09-19 13:58:31.296,,80.96000000000001
2013-09-19 13:58:34.382,81.5,
2013-09-19 13:58:34.297,,80.96000000000001
2013-09-19 13:58:37.383,80.96000000000001,
2013-09-19 13:58:37.298,,81.5
